"","song","album","year","url","lyrics"
"1","Queen Bitch","Hunky Dory","1971","http://www.azlyrics.com/lyrics/davidbowie/queenbitch.html","

I'm up on the eleventh floor
And I'm watching the cruisers below
He's down on the street
And he's trying hard
to pull sister Flo
My heart's in the basement
My weekend's at an all time low

'Cause she's hoping to score
So I can't see her
letting him go
Walk out of her heart
Walk out of her mind

[CHORUS]
She's so swishy in her satin and tat
In her frock coat
and bipperty-bopperty hat
Oh God, I could do better than that

She's an old-time ambassador
Of sweet talking, night walking games
And she's known in the darkest clubs
For pushing ahead of the dames
If she says she can do it
Then she can do it,
she don't make false claims
But she's a Queen,
and such are queens
That your laughter
is sucked in their brains
Now she's leading him on
And she'll lay him right down
But it could have been me
Yes, it could have been me
Why didn't I say,
why didn't I say, no, no, no

[CHORUS]

So I lay down a while
And I gaze at my hotel wall
Oh the cot is so cold
It don't feel like no bed at all
Yeah I lay down a while
And I look at my hotel wall
But he's down on the street
So I throw both his bags down the hall
And I'm phoning a cab
'Cause my stomach feels small
There's a taste in my mouth
And it's no taste at all

It could have been me
Oh yeah, it could have been me
Why didn't I say,
Why didn't I say, no, no, no

[CHORUS]
"
"2","Lady Stardust","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/ladystardust.html","

People stared at the makeup on his face
Laughed at his long black hair, his animal grace

The boy in the bright blue jeans
Jumped up on the stage
And lady stardust sang his songs
Of darkness and disgrace

[CHORUS]
And he was alright, the band was altogether
Yes he was alright, the song went on forever
And he was awful nice
Really quite out of sight 
([second time:] really quite paradise)
And he sang all night long

Femme fatales emerged from shadows
To watch this creature fair
Boys stood upon their chairs
To make their point of view
I smiled sadly for a love I could not obey

Lady Stardust sang his songs
Of darkness and dismay

[CHORUS]

Oh how I sighed 
When they asked if I knew his name

[CHORUS]

Get some pussy now!
"
"3","Starman","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/starman.html","

Didn't know what time it was and the lights were low
I leaned back on my radio
Some cat was layin' down some rock 'n' roll 'lotta soul, 
he said

Then the loud sound did seem to fade
Came back like a slow voice on a wave of phase
That weren't no D.J. that was hazy cosmic jive

[CHORUS]
There's a starman waiting in the sky
He'd like to come and meet us
But he thinks he'd blow our minds
There's a starman waiting in the sky
He's told us not to blow it
Cause he knows it's all worthwhile
He told me:
Let the children lose it
Let the children use it
Let all the children boogie

I had to phone someone so I picked on you
Hey, that's far out so you heard him too!
Switch on the TV 
we may pick him up on channel two
Look out your window I can see his light

If we can sparkle he may land tonight
Don't tell your poppa or he'll get us locked up in fright

[CHORUS (x2)]

La, la, la, la, la, la, la, la
"
"4","Saviour Machine","The Man Who Sold The World","1970","http://www.azlyrics.com/lyrics/davidbowie/saviourmachine.html","

President Joe once had a dream
The world held his hand, gave their pledge

So he told them his scheme for a Saviour Machine

They called it the Prayer, its answer was law
Its logic stopped war, gave them food
How they adored till it cried in its boredom

'Please don't believe in me, please disagree with me

Life is too easy, a plague seems quite feasible now
or maybe a war, or I may kill you all

Don't let me stay, don't let me stay
My logic says burn so send me away

Your minds are too green, I despise all I've seen
You can't stake your lives on a Saviour Machine

I need you flying, and I'll show that dying

Is living beyond reason, sacred dimension of time
I perceive every sign, I can steal every mind

Don't let me stay, don't let me stay
My logic says burn so send me away

Your minds are too green, I despise all I've seen
You can't stake your lives on a Saviour Machine
"
"5","When I Live My Dream","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/whenilivemydream.html","

When I live my dream, I'll take you with me
Riding on a golden horse
We'll live within my castle, with people there to serve you

Happy at the sound of your voice

Baby, I'll slay a dragon for you
Or banish wicked giants from the land
But you will find, that nothing in my dream can hurt you
We will only love each other as forever

When I live my dream
When I live my dream, I'll forgive the things you've told me 

And the empty man you left behind
It's a broken heart that dreams, it's a broken heart you left me 
Only love can live in my dream
I'll wish, and the thunder clouds will vanish 

Wish, and the storm will fade away
Wish again, and you will stand before me while the sky will paint an ouverture 
And trees will play the rhythm of my dream

When I live my dream, please be there to meet me

Let me be the one to understand
When I live my dream, I'll forget the hurt you gave 
Then we can live in our new land
Till the day my dream cascades around me
I'm content to let you pass me by
Till that day, you'll run to many other men
But let them know it's just for now
Tell them that I've got a dream
And tell them you're the starring role
Tell them I'm a dreaming kind of guy
And I'm going to make my dream
Tell them I will live my dream
Tell them they can laugh at me
But don't forget your date with me
When I live my dream
"
"6","Join The Gang","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/jointhegang.html","

Let me introduce you to the gang
Johnny plays the sitar, he's an existentialist
Once he had a name, now he plays our game
You won't feel so good now that you've joined the gang
Molly is the model in the ads
Crazy clothes and acid full of soul and crazy hip
Someone switched her on, then her beam went wrong 
Cause she can't switch off, now that she's joined the gang
Arthur is a singer with a band
Arthur drinks two bottles just before he goes on stage
Look at Arthur rave, all the kids are paid
They want to see the croaking man who joined the band 
You won't be alone, we've all got beery grins
It's a big illusion but at least you're in
At least you're in
This club's called The Webb, it's this month's pick
Next month we shall find a place where prices aren't so stiff
15 bob a coke, 'fraid that's past a joke 
This is how to spend now that you've joined a gang 
This is what to do now that you're here
Sit round doing nothing all together very fast
Psychedelic stars, throwing down cigars
They're picking up the joints now that they've joined the gang
"
"7","God Knows I\'m Good","Space Oddity","1969","http://www.azlyrics.com/lyrics/davidbowie/godknowsimgood.html","

I was walking through the counters of a national concern
And a cash machine was spitting by my shoulder

And I saw the multitude of faces, honest, rich and clean
As the merchandise exchanged and money roared
And a woman hot with worry slyly slipped a tin of stewing steak
Into the paper bag at her side
And her face was white with fear in case her actions were observed
So she closed her eyes to keep her conscience blind

Crying
""God knows I'm good
God knows I'm good
God knows I'm good
God may look the other way today

God knows I'm good
God knows I'm good
God knows I'm good
God may look the other way today""

Then she moved toward the exit clutching tightly at her paper bag
Perspiration trickled down her forehead
And her heart it leapt inside her as the hand laid on her shoulder
She was led away bewildered and amazed
Through her deafened ears the cash machines were shrieking on the counter
As her escort asked her softly 
for her name
And a crowd of honest people rushed to help a tired old lady
Who had fainted to the whirling 
wooden floor

Crying
""God knows I'm good
God knows I'm good
God knows I'm good
Surely God won't look
the other way

God knows I'm good
God knows I'm good
God knows I'm good
Surely God won't look
the other way""
"
"8","Moonage Daydream","The Rise And Fall Of Ziggy Stardust And The Spiders From Mars","1972","http://www.azlyrics.com/lyrics/davidbowie/moonagedaydream.html","

I'm an alligator, I'm a mama-papa coming for you
I'm the space invader, I'll be a rock 'n' rollin' bitch for you
Keep your mouth shut, 
you're squawking like a pink monkey bird
And I'm busting up my brains for the words

Keep your 'lectric eye on me babe
Put your ray gun to my head
Press your space face close to mine, love

Freak out in a moonage daydream oh yeah!

Don't fake it baby, lay the real thing on me
The church of man, love
Is such a holy place to be
Make me baby, make me know you really care

Make me jump into the air

Keep your 'lectric eye on me babe
Put your ray gun to my head
Press your space face close to mine, love
Freak out in a moonage daydream oh yeah! 

Freak out, far out, in out
"
"9","She\'s Got Medals","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/shesgotmedals.html","

She'd walk through the door and she'd set up the drinks 
on the house
She played a good game of darts, and the men slapped 
her back 
And never took her out
She wore a trenchcoat khaki
Her hobnail boots were full of holes
She's got medals
Her mother called her Mary, she changed her name to Tommy,
she's a one, oh 
She went and joined the army, passed the medical
Don't ask me how it's done
They sent her to the front line
Fighting for her country's name
She's got medals
She got very tired of picking up girls
Cleaning her gun and shaving her curls
Then the enemy dropped a bomb
Survivors there were none
People say that when the moon is full and all the stars have gone to bed
You can see her ghost but that's a lie because the naughty woman isn't dead
She deserted on the previous morning
Replaced her uniform with dresses silk and green
Called herself Eileen
Came to London town
Now she's settled down
She's got medals
"
"10","Please Mr. Gravedigger","David Bowie","1967","http://www.azlyrics.com/lyrics/davidbowie/pleasemrgravedigger.html","

There's a little churchyard just along the way
It used to be Lambeth's finest array
Of tombstones, epitaphs, wreaths, flowers all that jazz
Til the war come along and someone dropped a bomb on the lot

And in this little yard, there's a little old man
With a little shovel in his little bitty hand

He seems to spend all his days puffing fags and digging graves
He hates the reverend vicar and he lives all alone in his home
""Ah-choo, excuse me""
Please Mr. Gravedigger, don't feel ashamed
As you dig little holes for the dead and the maimed
Please Mr. Gravedigger, I couldn't care 
If you found a golden locket full of some girl's hair

And you put it in your pocket
""God, it's pouring down""
Her mother doesn't know about your sentimental joy
She thinks it's down below with the rest of her toys
And Ma wouldn't understand, so I won't tell
So keep your golden locket all safely hid away in your pocket
Yes, Mr. GD, you see me every day
Standing in the same spot by a certain grave
Mary-Ann was only 10 and full of life and oh so gay

And I was the wicked man who took her life away
Very selfish, oh God
No, Mr. GD, you won't tell
And just to make sure that you keep it to yourself
I've started digging holes myself
And this one here's for you
""Lifted our girl, she apparently doesn't know of it
Hello misses, thought she'd be a little girl
Bloody obscene, catch pneumonia or something in this rain""
"
